fish_id,name_english,name_latin,origin,phmin,phmax,temperature_min,temperature_max,cm_max,tank_size_liter,image_url,swim
421,Figure Eight Puffer,Tetraodon biocellatus,"Cambodia, Malaysia, Borneo,",6.5,7.5,22.0,26.0,8.0,75.0,https://selectyourfish.com/webps1/421.webp,2
422,Dwarf pufferfish,Carinotetraodon travancoricus,"India,",6.5,7.5,22.0,28.0,2.9,55.0,https://selectyourfish.com/webps1/422.webp,2
423,Congo pufferfish,Tetraodon miurus,Congo Basin,6.0,7.5,24.0,28.0,15.0,100.0,https://selectyourfish.com/webps1/423.webp,1
424,Amazon puffer,Colomesus asellus,"Brazil, Colombia, Peru, Ecuador,",6.0,7.5,22.0,28.0,12.0,100.0,https://selectyourfish.com/webps1/424.webp,2
425,Black devil stingray,Potamotrygon leopoldi,"Brazil,",6.0,7.5,20.0,29.0,60.0,1650.0,https://selectyourfish.com/webps1/425.webp,1
426,Black ghost knifefish,Apteronotus albifrons,South America,6.0,8.0,24.0,28.0,45.0,320.0,https://selectyourfish.com/webps1/426.webp,2
427,Brown ghost knifefish,Apteronotus leptorhynchus,"Colombia, Venezuela,",6.5,7.5,24.0,29.0,40.0,320.0,https://selectyourfish.com/webps1/427.webp,2
428,Glass knifefish,Eigenmannia virescens,South America,6.0,7.5,23.0,28.0,45.0,320.0,https://selectyourfish.com/webps1/428.webp,1
429,Freshwater blenny,Salaria fluviatilis,"Europe, North Africa",7.0,8.0,12.0,20.0,15.0,95.0,https://selectyourfish.com/webps1/429.webp,1
430,Brook stickleback,Culaea inconstans,"United States, Canada,",6.5,8.0,10.0,20.0,4.5,75.0,https://selectyourfish.com/webps1/430.webp,2
431,European Perch,Perca fluviatilis,Europe,6.5,8.0,10.0,22.0,50.0,230.0,https://selectyourfish.com/webps1/431.webp,2
432,Banded darter,Etheostoma zonale,United States,6.5,8.0,15.0,21.0,7.8,100.0,https://selectyourfish.com/webps1/432.webp,1
433,Gilt darter,Percina evides,United States,6.5,7.5,15.0,21.0,9.0,110.0,https://selectyourfish.com/webps1/433.webp,1
434,Orangethroat darter,Etheostoma spectabile,United States,6.0,8.0,15.0,20.0,7.0,95.0,https://selectyourfish.com/webps1/434.webp,1
435,Rainbow darter,Etheostoma caeruleum,United States,6.5,8.0,10.0,18.0,7.0,95.0,https://selectyourfish.com/webps1/435.webp,1
436,Redline Torpedo Barb,Sahyadria denisonii,India,6.8,7.8,15.0,25.0,11.0,200.0,https://selectyourfish.com/webps1/436.webp,2
437,Red rainbowfish,Glossolepis incisus,"New Guinea,",7.0,8.5,22.0,25.0,14.0,130.0,https://selectyourfish.com/webps1/437.webp,2
438,Lake Wanam rainbowfish,Glossolepis wanamensis,"New Guinea,",7.0,8.0,25.0,30.0,10.0,95.0,https://selectyourfish.com/webps1/438.webp,2
439,Threadfin rainbowfish,Iriatherina werneri,"New Guinea, Australia,",6.0,7.5,22.0,30.0,4.0,50.0,https://selectyourfish.com/webps1/439.webp,2
440,New Guinea rainbowfish,Melanotaenia affinis,"New Guinea,",7.0,8.0,20.0,30.0,12.0,115.0,https://selectyourfish.com/webps1/440.webp,2
441,Western rainbowfish,Melanotaenia australis,"Australia,",6.5,8.0,22.0,27.0,12.0,115.0,https://selectyourfish.com/webps1/441.webp,2
442,Boeseman's rainbowfish,Melanotaenia boesemani,"New Guinea,",7.0,8.0,27.0,30.0,11.0,115.0,https://selectyourfish.com/webps1/442.webp,2
443,Duboulayi's rainbowfish,Melanotaenia duboulayi,"Australia,",7.0,8.0,18.0,28.0,12.0,115.0,https://selectyourfish.com/webps1/443.webp,2
444,Australian rainbowfish,Melanotaenia fluviatilis,"Australia,",6.5,8.0,20.0,25.0,11.0,115.0,https://selectyourfish.com/webps1/444.webp,2
445,Lake Tebera rainbowfish,Melanotaenia herbertaxelrodi,"New Guinea,",7.0,8.0,20.0,26.0,9.0,95.0,https://selectyourfish.com/webps1/445.webp,2
446,Lake Kutubu rainbowfish,Melanotaenia lacustris,"New Guinea,",7.0,8.0,20.0,25.0,11.0,110.0,https://selectyourfish.com/webps1/446.webp,2
447,Lake Kurumoi rainbowfish,Melanotaenia parva,"New Guinea,",7.0,8.0,22.0,26.0,8.0,110.0,https://selectyourfish.com/webps1/447.webp,2
448,Neon rainbowfish,Melanotaenia praecox,"New Guinea,",6.5,7.5,23.0,28.0,8.0,110.0,https://selectyourfish.com/webps1/448.webp,2
449,Eastern rainbowfish,Melanotaenia splendida splendida,"Australia,",6.5,8.0,24.0,29.0,15.0,190.0,https://selectyourfish.com/webps1/449.webp,2
450,Banded rainbowfish,Melanotaenia trifasciata,"Australia,",6.5,8.0,24.0,29.0,15.0,190.0,https://selectyourfish.com/webps1/450.webp,2
451,Celebes rainbow,Marosatherina ladigesi,"Sulawesi,",7.0,8.0,22.0,28.0,8.0,95.0,https://selectyourfish.com/webps1/451.webp,2
452,Forktail blue-eye,Pseudomugil furcatus,"New Guinea,",6.0,7.5,24.0,28.0,5.5,85.0,https://selectyourfish.com/webps1/452.webp,2
453,Spotted blue-eye,Pseudomugil gertrudae,"Australia, Aru Islands,",6.0,7.5,21.0,28.0,3.8,65.0,https://selectyourfish.com/webps1/453.webp,2
454,Pacific blue-eye,Pseudomugil signifer,"Australia,",6.5,8.0,20.0,26.0,7.0,95.0,https://selectyourfish.com/webps1/454.webp,2
455,Delicate blue-eye,Pseudomugil tenellus,"Australia, New Guinea,",6.0,7.5,25.0,32.0,5.5,75.0,https://selectyourfish.com/webps1/455.webp,2
456,Madagascar rainbowfish,Bedotia madagascariensis,"Madagascar,",6.5,7.5,23.0,32.0,8.5,170.0,https://selectyourfish.com/webps1/456.webp,2
457,Tiger barb,Puntigrus tetrazona,"Sumatra,",6.0,8.0,20.0,26.0,7.0,75.0,https://selectyourfish.com/webps1/457.webp,2
458,Cherry barb,Puntius titteya,"Sri Lanka,",6.0,8.0,22.0,27.0,5.0,75.0,https://selectyourfish.com/webps1/458.webp,2
459,Mosquito rasbora,Boraras brigittae,"Borneo,",5.0,7.0,22.0,28.0,2.0,25.0,https://selectyourfish.com/webps1/459.webp,2
460,Medaka,Oryzias latipes,"Japan, Vietnam, China, Korea,",6.5,7.5,16.0,22.0,3.5,35.0,https://selectyourfish.com/webps1/460.webp,2
461,Midas Cichlid,Amphilophus citrinellus,"Nicaragua, Costa Rica,",7.0,8.0,21.0,26.0,35.0,300.0,https://selectyourfish.com/webps1/461.webp,2
462,Redhead Cichlid,Vieja melanurus,"Mexico, Belize, Guatemala,",6.5,8.0,25.0,28.0,37.0,285.0,https://selectyourfish.com/webps1/462.webp,2
463,Spot-tail Tetra,Brycinus imberi,Africa,6.0,7.5,22.0,27.0,27.0,245.0,https://selectyourfish.com/webps1/463.webp,2
464,Arrowhead Puffer,Tetraodon suvattii,"Thailand, Laos",6.0,7.5,22.0,26.0,15.0,100.0,https://selectyourfish.com/webps1/464.webp,1
465,Violet Goby,Gobioides brousonnetti,"United States, Mexico, South America",6.5,8.5,22.0,26.0,55.0,450.0,https://selectyourfish.com/webps1/465.webp,1
466,Colombian Tetra,Hyphessobrycon columbianus,Colombia,6.0,7.0,23.0,28.0,5.0,75.0,https://selectyourfish.com/webps1/466.webp,2
467,Texas Cichlid,Herichthys cyanoguttatus,"United States, Mexico",6.0,7.5,20.0,32.0,30.0,250.0,https://selectyourfish.com/webps1/467.webp,2
468,Salvin's Cichlid,Cichlasoma salvini,"Mexico, Guatemala, Belize",6.5,8.0,22.0,26.0,15.0,100.0,https://selectyourfish.com/webps1/468.webp,2
469,Pearlscale Cichlid,Herichthys carpintis,Mexico,7.0,8.0,24.0,26.0,30.0,210.0,https://selectyourfish.com/webps1/469.webp,2
470,Cascajal toothcarp,Brachyrhaphis cascajalensis,Costa Rica,6.5,8.0,24.0,28.0,5.0,40.0,https://selectyourfish.com/webps1/470.webp,2
471,African Moon Tetra,Bathyaethiops caudomaculatus,Africa,6.5,7.5,22.0,25.0,8.0,85.0,https://selectyourfish.com/webps1/471.webp,2
472,Spotscale Barb,Barbus holotaenia,Africa,6.0,7.0,24.0,30.0,12.0,120.0,https://selectyourfish.com/webps1/472.webp,2
473,Badis,Badis badis,"India, Bangladesh, Nepal",6.0,7.5,15.0,25.0,6.0,75.0,https://selectyourfish.com/webps1/473.webp,2
474,Banded Archerfish,Toxotes jaculatrix,"South Asia, Southeast Asia, Australia",7.0,8.0,25.0,30.0,30.0,450.0,https://selectyourfish.com/webps1/474.webp,3
475,Paraguay Eartheater,Gymnogeophagus balzanii,"Uruguay, Brazil, Paraguay, Argentina",6.5,7.5,21.0,25.0,14.0,140.0,https://selectyourfish.com/webps1/475.webp,2
476,Akar Betta,Betta akarensis ,Borneo,5.5,7.0,21.0,27.0,8.0,75.0,https://selectyourfish.com/webps1/476.webp,2
477,Arulius barb,Dawkinsia arulius,India,6.0,7.5,19.0,25.0,10.0,140.0,https://selectyourfish.com/webps1/477.webp,2
478,Azureus,Copadichromis azureus,Lake Malawi,7.5,8.5,25.0,28.0,15.0,300.0,https://selectyourfish.com/webps1/478.webp,2
479,Black Pacu,Colossoma macropomum,South America,5.5,7.5,22.0,28.0,60.0,2500.0,https://selectyourfish.com/webps1/479.webp,2
480,Black Shark,Labeo chrysophekadion,Southeast Asia,6.0,8.0,20.0,26.0,60.0,2500.0,https://selectyourfish.com/webps1/480.webp,2
481,Hairy Puffer,Tetraodon baileyi,"Thailand, Laos",6.5,7.5,23.0,27.0,14.0,100.0,https://selectyourfish.com/webps1/481.webp,1
482,Banded Gourami,Trichogaster fasciata,"Pakistan, India, Nepal",6.0,7.5,21.0,28.0,9.0,100.0,https://selectyourfish.com/webps1/482.webp,2
483,Balunga Betta,Betta balunga ,Borneo,5.0,7.0,22.0,27.0,5.0,60.0,https://selectyourfish.com/webps1/483.webp,2
484,Raja Betta,Betta raja ,Sumatra,5.0,7.0,22.0,27.0,7.0,100.0,https://selectyourfish.com/webps1/484.webp,2
485,Pugnax Betta,Betta pugnax ,Malaysia,5.0,7.5,22.0,28.0,7.0,60.0,https://selectyourfish.com/webps1/485.webp,2
486,Blackbelt Cichlid,Vieja maculicauda,Central America,6.5,7.5,22.0,28.0,32.0,250.0,https://selectyourfish.com/webps1/486.webp,2
487,Blue-eyed Tropheus,Tropheus brichardi,Lake Tanganyika,7.8,9.0,23.0,28.0,11.0,140.0,https://selectyourfish.com/webps1/487.webp,2
488,Blue Neon Cichlid,Paracyprichromis nigripinnis,Lake Tanganyika,7.5,9.0,24.0,27.0,11.0,180.0,https://selectyourfish.com/webps1/488.webp,2
489,Blue Tetra,Boehlkea fredcochui,Peru,6.0,7.5,22.0,28.0,5.5,75.0,https://selectyourfish.com/webps1/107.webp,2
490,African Butterfly Barb,Barbus hulstaerti,Central Africa,5.0,6.5,17.0,24.0,3.5,40.0,https://selectyourfish.com/webps1/490.webp,2
491,Yellow Phantom Tetra,Hyphessobrycon roseus,"Suriname, French Guiana",5.0,7.0,20.0,28.0,2.0,25.0,https://selectyourfish.com/webps1/491.webp,2
